strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Scotland/QEUH-3C0E7AE/2022	betacoronavirus	EPI_ISL_11604519	?	2022-03-22	Europe	United Kingdom	Scotland		Europe	United Kingdom	Scotland	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse, Yumi Kasai, David Gray, Carol Clugston, Anna Dominiczak and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-03-31	?
hCoV-19/Denmark/DCGC-455749/2022	betacoronavirus	EPI_ISL_11645323	?	2022-03-24	Europe	Denmark	Syddanmark		Europe	Denmark	Syddanmark	genome	29746	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV986/2022	betacoronavirus	EPI_ISL_11674410	?	2022-03-23	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	36	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV987/2022	betacoronavirus	EPI_ISL_11674411	?	2022-03-17	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	58	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV990/2022	betacoronavirus	EPI_ISL_11674413	?	2022-03-23	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	29	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1002/2022	betacoronavirus	EPI_ISL_11674425	?	2022-03-12	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	unknown	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1003/2022	betacoronavirus	EPI_ISL_11674426	?	2022-03-12	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	49	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1008/2022	betacoronavirus	EPI_ISL_11674430	?	2022-03-12	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	unknown	Male	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1009/2022	betacoronavirus	EPI_ISL_11674431	?	2022-03-10	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	31	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1010/2022	betacoronavirus	EPI_ISL_11674432	?	2022-03-12	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29702	Human	30	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1022/2022	betacoronavirus	EPI_ISL_11674443	?	2022-03-23	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	33	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1025/2022	betacoronavirus	EPI_ISL_11674447	?	2022-03-16	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	22	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NCV1026/2022	betacoronavirus	EPI_ISL_11674448	?	2022-03-22	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	35	Female	?	BA.4	GRA	National Health Laboratory Services, Virology	National Health Laboratory Services, Virology	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/NICD-N37122/2022	betacoronavirus	EPI_ISL_11674784	?	2022-03-08	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29750	Human	25	Male	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-01	?
hCoV-19/SouthAfrica/SU-NHLS_4413/2022	betacoronavirus	EPI_ISL_11752668	?	2022-03-30	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29646	Human	20	Female	?	BA.4	GRA	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/CERI-KRISP-K038873/2022	betacoronavirus	EPI_ISL_11763475	?	2022-03-19	Africa	South Africa	Eastern Cape	Nelson Mandela Bay Metropolitan Municipality	Africa	South Africa	Eastern Cape	genome	29742	Human	17	Female	?	BA.4	GRA	NHLS Port Elizabeth Laboratory	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Laguda-Akingba O, Mdlalose N, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/CERI-KRISP-K038876/2022	betacoronavirus	EPI_ISL_11763478	?	2022-03-18	Africa	South Africa	Eastern Cape	Nelson Mandela Bay Metropolitan Municipality	Africa	South Africa	Eastern Cape	genome	29744	Human	10	Male	?	BA.4	GRA	NHLS Port Elizabeth Laboratory	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Laguda-Akingba O, Mdlalose N, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/CERI-KRISP-K038878/2022	betacoronavirus	EPI_ISL_11763480	?	2022-03-15	Africa	South Africa	Eastern Cape	Grahamstown	Africa	South Africa	Eastern Cape	genome	29743	Human	14	Male	?	BA.4	GRA	NHLS Port Elizabeth Laboratory	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Laguda-Akingba O, Mdlalose N, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/CERI-KRISP-K038879/2022	betacoronavirus	EPI_ISL_11763481	?	2022-03-16	Africa	South Africa	Eastern Cape	Kouga	Africa	South Africa	Eastern Cape	genome	29746	Human	51	Male	?	BA.4	GRA	NHLS Port Elizabeth Laboratory	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Laguda-Akingba O, Mdlalose N, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/CERI-KRISP-K038890/2022	betacoronavirus	EPI_ISL_11763491	?	2022-03-16	Africa	South Africa	Eastern Cape	Nelson Mandela Bay Metropolitan Municipality	Africa	South Africa	Eastern Cape	genome	29760	Human	56	Female	?	BA.4	GRA	NHLS Port Elizabeth Laboratory	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Laguda-Akingba O, Mdlalose N, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/CERI-KRISP-K038902/2022	betacoronavirus	EPI_ISL_11763502	?	2022-03-17	Africa	South Africa	Eastern Cape	Nelson Mandela Bay Metropolitan Municipality	Africa	South Africa	Eastern Cape	genome	29763	Human	48	Male	?	BA.4	GRA	NHLS Port Elizabeth Laboratory	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Laguda-Akingba O, Mdlalose N, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-04	?
hCoV-19/SouthAfrica/NICD-N37129/2022	betacoronavirus	EPI_ISL_11773266	?	2022-03-08	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29731	Human	30	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-05	?
hCoV-19/SouthAfrica/NICD-N38270/2022	betacoronavirus	EPI_ISL_11773269	?	2022-03-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29767	Human	38	Male	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-05	?
hCoV-19/SouthAfrica/NICD-N38273/2022	betacoronavirus	EPI_ISL_11773271	?	2022-03-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29751	Human	64	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-05	?
hCoV-19/SouthAfrica/NICD-N38285/2022	betacoronavirus	EPI_ISL_11773278	?	2022-03-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29773	Human	6	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-05	?
hCoV-19/SouthAfrica/NICD-N38535/2022	betacoronavirus	EPI_ISL_11825926	?	2022-03-30	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29766	Human	35	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-07	?
hCoV-19/SouthAfrica/NICD-N38540/2022	betacoronavirus	EPI_ISL_11825931	?	2022-03-30	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29766	Human	27	Male	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-07	?
hCoV-19/SouthAfrica/NICD-N38546/2022	betacoronavirus	EPI_ISL_11825937	?	2022-03-30	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29768	Human	40	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-07	?
hCoV-19/SouthAfrica/NICD-N37132/2022	betacoronavirus	EPI_ISL_11825942	?	2022-03-08	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29748	Human	14	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-05	?
hCoV-19/Denmark/DCGC-468314/2022	betacoronavirus	EPI_ISL_11832686	?	2022-04-02	Europe	Denmark	Syddanmark		Europe	Denmark	Syddanmark	genome	29740	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-07	?
hCoV-19/Belgium/ULB-IBC_CV8142614476/2022	betacoronavirus	EPI_ISL_11866393	?	2022-03-29	Europe	Belgium	Wallonie	Brabant Wallon	Europe	Belgium	Wallonie	genome	29637	Human	49	Female	?	BA.4	GRA	National Platform bis COVID ULB-IBC	National Platform bis COVID ULB-IBC	Ricardo De Mendonça, Marie-Luce Delforge, Arnaud Marchant, Coralie Henin, Benoit Haerlingen	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N37590/2022	betacoronavirus	EPI_ISL_11867344	?	2022-03-08	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	32	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N37593/2022	betacoronavirus	EPI_ISL_11867346	?	2022-03-08	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29644	Human	37	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N37618/2022	betacoronavirus	EPI_ISL_11867366	?	2022-03-07	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29496	Human	52	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N37625/2022	betacoronavirus	EPI_ISL_11867372	?	2022-03-07	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	57	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N37963/2022	betacoronavirus	EPI_ISL_11867409	?	2022-03-17	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	49	Male	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N37995/2022	betacoronavirus	EPI_ISL_11867426	?	2022-03-14	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	15	Male	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38001/2022	betacoronavirus	EPI_ISL_11867428	?	2022-03-14	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	8	Male	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38008/2022	betacoronavirus	EPI_ISL_11867431	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	14	Female	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38014/2022	betacoronavirus	EPI_ISL_11867434	?	2022-03-19	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	42	Female	?	BA.4	GRA	VERMAAK	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38029/2022	betacoronavirus	EPI_ISL_11867443	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	10	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38035/2022	betacoronavirus	EPI_ISL_11867448	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29139	Human	34	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38040/2022	betacoronavirus	EPI_ISL_11867453	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29644	Human	56	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
